dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true,avg_weight,pct_full_robust,pct_full_naive
DGP3_heteroscedastic,0.5,500,AMRI,2000,2000,0.9575,0.004511,0.212183,0.21452,0.000282,0.052356,0.053998,1.0,,,
DGP3_heteroscedastic,0.5,500,AMRI_v2,2000,2000,0.9545,0.00466,0.20699,0.205588,0.000282,0.052356,0.052676,1.0,0.7033,0.5835,0.1825
DGP3_heteroscedastic,0.5,1000,AMRI,2000,2000,0.9525,0.004756,0.152489,0.153477,0.000127,0.037961,0.038854,1.0,,,
DGP3_heteroscedastic,0.5,1000,AMRI_v2,2000,2000,0.9435,0.005163,0.14692,0.146215,0.000127,0.037961,0.037435,1.0,0.8766,0.8025,0.0605
DGP3_heteroscedastic,0.5,5000,AMRI,2000,2000,0.9615,0.004302,0.069331,0.069239,-0.000405,0.016989,0.017683,1.0,,,
DGP3_heteroscedastic,0.5,5000,AMRI_v2,2000,2000,0.9485,0.004942,0.06603,0.065942,-0.000405,0.016989,0.016841,1.0,1.0,1.0,0.0
DGP3_heteroscedastic,0.75,50,AMRI,2000,2000,0.9325,0.00561,0.789623,0.695978,0.000929,0.203848,0.196362,1.0,,,
DGP3_heteroscedastic,0.75,50,AMRI_v2,2000,2000,0.9365,0.005453,0.781719,0.710582,0.000929,0.203848,0.194396,1.0,0.3999,0.2765,0.444
DGP3_heteroscedastic,0.75,100,AMRI,2000,2000,0.94,0.00531,0.560235,0.507806,0.002426,0.142036,0.141155,1.0,,,
DGP3_heteroscedastic,0.75,100,AMRI_v2,2000,2000,0.939,0.005352,0.550564,0.51546,0.002426,0.142036,0.138718,1.0,0.5543,0.427,0.3095
DGP3_heteroscedastic,0.75,250,AMRI,2000,2000,0.9505,0.00485,0.365273,0.361764,0.00263,0.0926,0.092729,1.0,,,
DGP3_heteroscedastic,0.75,250,AMRI_v2,2000,2000,0.94,0.00531,0.353056,0.345037,0.00263,0.0926,0.089627,1.0,0.8172,0.7305,0.112
DGP3_heteroscedastic,0.75,500,AMRI,2000,2000,0.9625,0.004248,0.261952,0.259866,0.000401,0.063217,0.066663,1.0,,,
DGP3_heteroscedastic,0.75,500,AMRI_v2,2000,2000,0.958,0.004485,0.250488,0.247492,0.000401,0.063217,0.063746,1.0,0.9608,0.927,0.0155
DGP3_heteroscedastic,0.75,1000,AMRI,2000,2000,0.9555,0.004611,0.186398,0.184131,-2.5e-05,0.045618,0.047494,1.0,,,
DGP3_heteroscedastic,0.75,1000,AMRI_v2,2000,2000,0.9455,0.005076,0.177568,0.175363,-2.5e-05,0.045618,0.045244,1.0,0.9967,0.9945,0.0025
